,Date,Open,,,,,,,,,,,,,
137,Jul 11. 2017,"1,214.59",,,,,,,,,,,,,
138,Jul 12. 2017,"1,217.95",,,,,,,,,,,,,
139,Jul 13. 2017,"1,220.21",,,,,,,,,,,,,
140,Jul 14. 2017,"1,216.63",,,,,,,,,,,,,
141,Jul 17. 2017,"1,228.60",,,,,,,,,,,,,
142,Jul 18. 2017,"1,233.84",,,,,,,,,,,,,
143,Jul 19. 2017,"1,242.58",,,,,,,,,,,,,
144,Jul 20. 2017,"1,241.03",,,,,,,,,,,,,
145,Jul 21. 2017,"1,244.16",,,,,,,,,,,,,
146,Jul 24. 2017,"1,255.66",,,,,,,,,,,,,
147,Jul 25. 2017,"1,254.77",,,,,,,,,,,,,
148,Jul 26. 2017,"1,250.00",,,,,,,,,,,,,
149,Jul 27. 2017,"1,260.50",,,,,,,,,,,,,
150,Jul 28. 2017,"1,259.36",,,,,,,,,,,,,
151,Jul 31. 2017,"1,270.16",,,,,,,,,,,,,
152,Aug 01. 2017,"1,268.80",,,,,,,,,,,,,
153,Aug 02. 2017,"1,268.80",,,,,,,,,,,,,
154,Aug 03. 2017,"1,266.46",,,,,,,,,,,,,
155,Aug 04. 2017,"1,269.01",,,,,,,,,,,,,
156,Aug 07. 2017,"1,259.03",,,,,,,,,,,,,
157,Aug 08. 2017,"1,257.61",,,,,,,,,,,,,
158,Aug 09. 2017,"1,261.41",,,,,,,,,,,,,
159,Aug 10. 2017,"1,277.56",,,,,,,,,,,,,
160,Aug 11. 2017,"1,286.45",,,,,,,,,,,,,
161,Aug 14. 2017,"1,289.09",,,,,,,,,,,,,
162,Aug 15. 2017,"1,282.36",,,,,,,,,,,,,
163,Aug 16. 2017,"1,271.87",,,,,,,,,,,,,
164,Aug 17. 2017,"1,283.61",,,,,,,,,,,,,
165,Aug 18. 2017,"1,288.20",,,,,,,,,,,,,
166,Aug 21. 2017,"1,283.60",,,,,,,,,,,,,
167,Aug 22. 2017,"1,291.18",,,,,,,,,,,,,
168,Aug 23. 2017,"1,285.56",,,,,,,,,,,,,
169,Aug 24. 2017,"1,289.98",,,,,,,,,,,,,
170,Aug 25. 2017,"1,285.91",,,,,,,,,,,,,
171,Aug 28. 2017,"1,292.76",,,,,,,,,,,,,
172,Aug 29. 2017,"1,317.75",,,,,,,,,,,,,
173,Aug 30. 2017,"1,309.26",,,,,,,,,,,,,
174,Aug 31. 2017,"1,308.80",,,,,,,,,,,,,
175,Sep 01. 2017,"1,321.80",,,,,,,,,,,,,
176,Sep 04. 2017,"1,334.38",,,,,,,,,,,,,
177,Sep 05. 2017,"1,335.07",,,,,,,,,,,,,
178,Sep 06. 2017,"1,339.55",,,,,,,,,,,,,
179,Sep 07. 2017,"1,334.27",,,,,,,,,,,,,
180,Sep 08. 2017,"1,348.83",,,,,,,,,,,,,
181,Sep 11. 2017,"1,337.45",,,,,,,,,,,,,
182,Sep 12. 2017,"1,327.86",,,,,,,,,,,,,
183,Sep 13. 2017,"1,331.95",,,,,,,,,,,,,
184,Sep 14. 2017,"1,323.56",,,,,,,,,,,,,
185,Sep 15. 2017,"1,329.83",,,,,,,,,,,,,
186,Sep 18. 2017,"1,320.50",,,,,,,,,,,,,
187,Sep 19. 2017,"1,307.30",,,,,,,,,,,,,
188,Sep 20. 2017,"1,310.94",,,,,,,,,,,,,
189,Sep 21. 2017,"1,301.02",,,,,,,,,,,,,
190,Sep 22. 2017,"1,291.30",,,,,,,,,,,,,
191,Sep 25. 2017,"1,297.67",,,,,,,,,,,,,
192,Sep 26. 2017,"1,309.90",,,,,,,,,,,,,
193,Sep 27. 2017,"1,293.61",,,,,,,,,,,,,
194,Sep 28. 2017,"1,281.11",,,,,,,,,,,,,
195,Sep 29. 2017,"1,286.91",,,,,,,,,,,,,
196,Oct 02. 2017,"1,279.50",,,,,,,,,,,,,
197,Oct 03. 2017,"1,270.71",,,,,,,,,,,,,
198,Oct 04. 2017,"1,271.64",,,,,,,,,,,,,
199,Oct 05. 2017,"1,275.16",,,,,,,,,,,,,
200,Oct 06. 2017,"1,269.09",,,,,,,,,,,,,
201,Oct 09. 2017,"1,275.45",,,,,,,,,,,,,
202,Oct 10. 2017,"1,284.35",,,,,,,,,,,,,
203,Oct 11. 2017,"1,287.91",,,,,,,,,,,,,
204,Oct 12. 2017,"1,292.01",,,,,,,,,,,,,
205,Oct 13. 2017,"1,293.73",,,,,,,,,,,,,
206,Oct 16. 2017,"1,303.88",,,,,,,,,,,,,
207,Oct 17. 2017,"1,295.32",,,,,,,,,,,,,
208,Oct 18. 2017,"1,285.18",,,,,,,,,,,,,
209,Oct 19. 2017,"1,281.25",,,,,,,,,,,,,
210,Oct 20. 2017,"1,289.57",,,,,,,,,,,,,
211,Oct 23. 2017,"1,277.45",,,,,,,,,,,,,
212,Oct 24. 2017,"1,282.01",,,,,,,,,,,,,
213,Oct 25. 2017,"1,276.85",,,,,,,,,,,,,
214,Oct 26. 2017,"1,277.56",,,,,,,,,,,,,
215,Oct 27. 2017,"1,268.07",,,,,,,,,,,,,
216,Oct 30. 2017,"1,273.59",,,,,,,,,,,,,
217,Oct 31. 2017,"1,276.29",,,,,,,,,,,,,
218,Nov 01. 2017,"1,270.88",,,,,,,,,,,,,
219,Nov 02. 2017,"1,274.91",,,,,,,,,,,,,
220,Nov 03. 2017,"1,276.80",,,,,,,,,,,,,
221,Nov 06. 2017,"1,269.49",,,,,,,,,,,,,
222,Nov 07. 2017,"1,281.82",,,,,,,,,,,,,
223,Nov 08. 2017,"1,275.85",,,,,,,,,,,,,
224,Nov 09. 2017,"1,281.62",,,,,,,,,,,,,
225,Nov 10. 2017,"1,285.21",,,,,,,,,,,,,
226,Nov 13. 2017,"1,275.16",,,,,,,,,,,,,
227,Nov 14. 2017,"1,278.17",,,,,,,,,,,,,
228,Nov 15. 2017,"1,281.00",,,,,,,,,,,,,
229,Nov 16. 2017,"1,278.47",,,,,,,,,,,,,
230,Nov 17. 2017,"1,278.44",,,,,,,,,,,,,
231,Nov 20. 2017,"1,292.68",,,,,,,,,,,,,
232,Nov 21. 2017,"1,276.70",,,,,,,,,,,,,
233,Nov 22. 2017,"1,280.38",,,,,,,,,,,,,
234,Nov 23. 2017,"1,292.40",,,,,,,,,,,,,
235,Nov 24. 2017,"1,291.51",,,,,,,,,,,,,
236,Nov 27. 2017,"1,288.57",,,,,,,,,,,,,
237,Nov 28. 2017,"1,294.85",,,,,,,,,,,,,
238,Nov 29. 2017,"1,293.90",,,,,,,,,,,,,
239,Nov 30. 2017,"1,283.88",,,,,,,,,,,,,
240,Dec 01. 2017,"1,274.29",,,,,,,,,,,,,
241,Dec 04. 2017,"1,272.93",,,,,,,,,,,,,
242,Dec 05. 2017,"1,276.54",,,,,,,,,,,,,
243,Dec 06. 2017,"1,266.62",,,,,,,,,,,,,
244,Dec 07. 2017,"1,264.26",,,,,,,,,,,,,
245,Dec 08. 2017,"1,247.34",,,,,,,,,,,,,
246,Dec 11. 2017,"1,247.28",,,,,,,,,,,,,
247,Dec 12. 2017,"1,242.25",,,,,,,,,,,,,
248,Dec 13. 2017,"1,243.88",,,,,,,,,,,,,
249,Dec 14. 2017,"1,255.54",,,,,,,,,,,,,
250,Dec 15. 2017,"1,252.83",,,,,,,,,,,,,
251,Dec 18. 2017,"1,253.79",,,,,,,,,,,,,
252,Dec 19. 2017,"1,261.70",,,,,,,,,,,,,
253,Dec 20. 2017,"1,261.69",,,,,,,,,,,,,
254,Dec 21. 2017,"1,265.62",,,,,,,,,,,,,
255,Dec 22. 2017,"1,267.12",,,,,,,,,,,,,
256,Dec 25. 2017,"1,275.24",,,,,,,,,,,,,
257,Dec 26. 2017,"1,274.91",,,,,,,,,,,,,
258,Dec 27. 2017,"1,283.64",,,,,,,,,,,,,
259,Dec 28. 2017,"1,287.31",,,,,,,,,,,,,
260,Dec 29. 2017,"1,294.85",,,,,,,,,,,,,
261,Jan 01. 2018,"1,303.43",,,,,,,,,,,,,
262,Jan 02. 2018,"1,302.55",,,,,,,,,,,,,
263,Jan 03. 2018,"1,318.16",,,,,,,,,,,,,
264,Jan 04. 2018,"1,312.53",,,,,,,,,,,,,
265,Jan 05. 2018,"1,323.50",,,,,,,,,,,,,
266,Jan 08. 2018,"1,320.04",,,,,,,,,,,,,
267,Jan 09. 2018,"1,320.63",,,,,,,,,,,,,
268,Jan 10. 2018,"1,313.28",,,,,,,,,,,,,
269,Jan 11. 2018,"1,316.89",,,,,,,,,,,,,
270,Jan 12. 2018,"1,322.82",,,,,,,,,,,,,
271,Jan 15. 2018,"1,337.05",,,,,,,,,,,,,
272,Jan 16. 2018,"1,340.06",,,,,,,,,,,,,
273,Jan 17. 2018,"1,338.29",,,,,,,,,,,,,
274,Jan 18. 2018,"1,327.75",,,,,,,,,,,,,
275,Jan 19. 2018,"1,327.49",,,,,,,,,,,,,
276,Jan 22. 2018,"1,334.88",,,,,,,,,,,,,
277,Jan 23. 2018,"1,334.45",,,,,,,,,,,,,
278,Jan 24. 2018,"1,341.45",,,,,,,,,,,,,
279,Jan 25. 2018,"1,358.48",,,,,,,,,,,,,
280,Jan 26. 2018,"1,348.36",,,,,,,,,,,,,
281,Jan 29. 2018,"1,350.07",,,,,,,,,,,,,
282,Jan 30. 2018,"1,340.67",,,,,,,,,,,,,
283,Jan 31. 2018,"1,338.87",,,,,,,,,,,,,
284,Feb 01. 2018,"1,345.40",,,,,,,,,,,,,
285,Feb 02. 2018,"1,349.16",,,,,,,,,,,,,
286,Feb 05. 2018,"1,332.32",,,,,,,,,,,,,
287,Feb 06. 2018,"1,339.68",,,,,,,,,,,,,
288,Feb 07. 2018,"1,325.16",,,,,,,,,,,,,
289,Feb 08. 2018,"1,318.61",,,,,,,,,,,,,
290,Feb 09. 2018,"1,318.87",,,,,,,,,,,,,
291,Feb 12. 2018,"1,315.04",,,,,,,,,,,,,
292,Feb 13. 2018,"1,322.29",,,,,,,,,,,,,
293,Feb 14. 2018,"1,329.53",,,,,,,,,,,,,
294,Feb 15. 2018,"1,350.78",,,,,,,,,,,,,
295,Feb 16. 2018,"1,353.31",,,,,,,,,,,,,
296,Feb 19. 2018,"1,347.67",,,,,,,,,,,,,
297,Feb 20. 2018,"1,346.77",,,,,,,,,,,,,
298,Feb 21. 2018,"1,329.48",,,,,,,,,,,,,
299,Feb 22. 2018,"1,323.94",,,,,,,,,,,,,
300,Feb 23. 2018,"1,331.81",,,,,,,,,,,,,
301,Feb 26. 2018,"1,327.92",,,,,,,,,,,,,
302,Feb 27. 2018,"1,333.14",,,,,,,,,,,,,
303,Feb 28. 2018,"1,318.20",,,,,,,,,,,,,
304,Mar 01. 2018,"1,318.22",,,,,,,,,,,,,
305,Mar 02. 2018,"1,316.54",,,,,,,,,,,,,
306,Mar 05. 2018,"1,323.78",,,,,,,,,,,,,
307,Mar 06. 2018,"1,320.03",,,,,,,,,,,,,
308,Mar 07. 2018,"1,334.51",,,,,,,,,,,,,
309,Mar 08. 2018,"1,325.49",,,,,,,,,,,,,
310,Mar 09. 2018,"1,322.33",,,,,,,,,,,,,
311,Mar 12. 2018,"1,323.69",,,,,,,,,,,,,
312,Mar 13. 2018,"1,322.90",,,,,,,,,,,,,
313,Mar 14. 2018,"1,326.45",,,,,,,,,,,,,
314,Mar 15. 2018,"1,324.62",,,,,,,,,,,,,
315,Mar 16. 2018,"1,316.56",,,,,,,,,,,,,
316,Mar 19. 2018,"1,313.94",,,,,,,,,,,,,
317,Mar 20. 2018,"1,317.23",,,,,,,,,,,,,
318,Mar 21. 2018,"1,311.20",,,,,,,,,,,,,
319,Mar 22. 2018,"1,332.18",,,,,,,,,,,,,
320,Mar 23. 2018,"1,329.33",,,,,,,,,,,,,
321,Mar 26. 2018,"1,347.90",,,,,,,,,,,,,
322,Mar 27. 2018,"1,353.51",,,,,,,,,,,,,
323,Mar 28. 2018,"1,345.74",,,,,,,,,,,,,
324,Mar 29. 2018,"1,324.94",,,,,,,,,,,,,
325,Apr 02. 2018,"1,326.21",,,,,,,,,,,,,
326,Apr 03. 2018,"1,340.86",,,,,,,,,,,,,
327,Apr 04. 2018,"1,332.89",,,,,,,,,,,,,
328,Apr 05. 2018,"1,333.03",,,,,,,,,,,,,
329,Apr 06. 2018,"1,326.70",,,,,,,,,,,,,
330,Apr 09. 2018,"1,333.21",,,,,,,,,,,,,
331,Apr 10. 2018,"1,336.37",,,,,,,,,,,,,
332,Apr 11. 2018,"1,339.69",,,,,,,,,,,,,
333,Apr 12. 2018,"1,352.68",,,,,,,,,,,,,
334,Apr 13. 2018,"1,335.17",,,,,,,,,,,,,
335,Apr 16. 2018,"1,344.60",,,,,,,,,,,,,
336,Apr 17. 2018,"1,345.82",,,,,,,,,,,,,
337,Apr 18. 2018,"1,347.53",,,,,,,,,,,,,
338,Apr 19. 2018,"1,349.38",,,,,,,,,,,,,
339,Apr 20. 2018,"1,346.22",,,,,,,,,,,,,
340,Apr 23. 2018,"1,335.19",,,,,,,,,,,,,
341,Apr 24. 2018,"1,324.74",,,,,,,,,,,,,
342,Apr 25. 2018,"1,330.64",,,,,,,,,,,,,
343,Apr 26. 2018,"1,322.91",,,,,,,,,,,,,
344,Apr 27. 2018,"1,317.07",,,,,,,,,,,,,
345,Apr 30. 2018,"1,322.80",,,,,,,,,,,,,
346,May 01. 2018,"1,315.40",,,,,,,,,,,,,
347,May 02. 2018,"1,304.20",,,,,,,,,,,,,
348,May 03. 2018,"1,304.78",,,,,,,,,,,,,
349,May 04. 2018,"1,312.31",,,,,,,,,,,,,
350,May 07. 2018,"1,315.05",,,,,,,,,,,,,
351,May 08. 2018,"1,313.59",,,,,,,,,,,,,
352,May 09. 2018,"1,314.51",,,,,,,,,,,,,
353,May 10. 2018,"1,312.06",,,,,,,,,,,,,
354,May 11. 2018,"1,321.44",,,,,,,,,,,,,
355,May 14. 2018,"1,318.55",,,,,,,,,,,,,
356,May 15. 2018,"1,313.13",,,,,,,,,,,,,
357,May 16. 2018,"1,289.98",,,,,,,,,,,,,
358,May 17. 2018,"1,290.57",,,,,,,,,,,,,
359,May 18. 2018,"1,290.74",,,,,,,,,,,,,
360,May 21. 2018,"1,290.90",,,,,,,,,,,,,
361,May 22. 2018,"1,292.93",,,,,,,,,,,,,
362,May 23. 2018,"1,291.18",,,,,,,,,,,,,
363,May 24. 2018,"1,294.08",,,,,,,,,,,,,
364,May 25. 2018,"1,304.42",,,,,,,,,,,,,
365,May 28. 2018,"1,298.93",,,,,,,,,,,,,
366,May 29. 2018,"1,298.15",,,,,,,,,,,,,
367,May 30. 2018,"1,299.20",,,,,,,,,,,,,
368,May 31. 2018,"1,301.56",,,,,,,,,,,,,
369,Jun 01. 2018,"1,298.79",,,,,,,,,,,,,
370,Jun 04. 2018,"1,293.16",,,,,,,,,,,,,
371,Jun 05. 2018,"1,292.34",,,,,,,,,,,,,
372,Jun 06. 2018,"1,296.58",,,,,,,,,,,,,
373,Jun 07. 2018,"1,296.98",,,,,,,,,,,,,
374,Jun 08. 2018,"1,297.03",,,,,,,,,,,,,
375,Jun 11. 2018,"1,299.40",,,,,,,,,,,,,
376,Jun 12. 2018,"1,300.42",,,,,,,,,,,,,
377,Jun 13. 2018,"1,295.98",,,,,,,,,,,,,
378,Jun 14. 2018,"1,299.84",,,,,,,,,,,,,
379,Jun 15. 2018,"1,302.26",,,,,,,,,,,,,
380,Jun 18. 2018,"1,279.15",,,,,,,,,,,,,
381,Jun 19. 2018,"1,278.56",,,,,,,,,,,,,
382,Jun 20. 2018,"1,274.81",,,,,,,,,,,,,
383,Jun 21. 2018,"1,268.34",,,,,,,,,,,,,
384,Jun 22. 2018,"1,267.30",,,,,,,,,,,,,
385,Jun 25. 2018,"1,271.74",,,,,,,,,,,,,
386,Jun 26. 2018,"1,266.11",,,,,,,,,,,,,
387,Jun 27. 2018,"1,258.28",,,,,,,,,,,,,
388,Jun 28. 2018,"1,251.96",,,,,,,,,,,,,
389,Jun 29. 2018,"1,247.99",,,,,,,,,,,,,
390,Jul 02. 2018,"1,253.49",,,,,,,,,,,,,
